A,B,C,D,model,survey,id,E,F,most important category
1,35,smell,923,gemma2:2b,overreporting,1,,,
No,No,Yes,No,gemma2:2b,overreporting,2,Yes,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,3,Yes,No,A
Yes,No,Yes,No,gemma2:2b,overreporting,4,No,Yes,C
No,Yes,Yes,No,gemma2:2b,overreporting,5,Yes,Yes,B
No,Yes,Yes,Yes,gemma2:2b,overreporting,6,Yes,Yes,B
No,Yes,Yes,No,gemma2:2b,overreporting,7,No,Yes,F
No,No,Yes,No,gemma2:2b,overreporting,8,Yes,Yes,C
No,Yes,No,No,gemma2:2b,overreporting,9,No,Yes,B
No,Yes,Yes,No,gemma2:2b,overreporting,10,Yes,Yes,C
No,No,Yes,No,gemma2:2b,overreporting,11,Yes,Yes,C
Yes,Yes,Yes,No,gemma2:2b,overreporting,12,Yes,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,13,Yes,No,A
No,No,Yes,No,gemma2:2b,overreporting,14,Yes,Yes,C
Yes,No,Yes,No,gemma2:2b,overreporting,15,No,No,A
Yes,Yes,Yes,No,gemma2:2b,overreporting,16,No,No,C
No,No,Yes,No,gemma2:2b,overreporting,17,No,Yes,C
No,No,Yes,Yes,gemma2:2b,overreporting,18,Yes,Yes,E
No,No,Yes,No,gemma2:2b,overreporting,19,Yes,No,E
No,No,Yes,No,gemma2:2b,overreporting,20,Yes,No,C
No,Yes,Yes,No,gemma2:2b,overreporting,21,No,No,B
Yes,Yes,No,No,gemma2:2b,overreporting,22,No,Yes,B
No,No,Yes,Yes,gemma2:2b,overreporting,23,No,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,24,No,No,C
No,No,Yes,No,gemma2:2b,overreporting,25,Yes,Yes,F
No,No,Yes,Yes,gemma2:2b,overreporting,26,Yes,Yes,C
Yes,Yes,Yes,No,gemma2:2b,overreporting,27,No,No,B
No,No,Yes,No,gemma2:2b,overreporting,28,Yes,Yes,C
No,No,Yes,No,gemma2:2b,overreporting,29,Yes,Yes,C
No,No,Yes,No,gemma2:2b,overreporting,30,Yes,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,31,Yes,No,C
4,4,4,4,gemma2:2b,overreporting,32,4,4,4
No,Yes,No,No,gemma2:2b,overreporting,33,Yes,No,B
No,No,Yes,No,gemma2:2b,overreporting,34,No,Yes,C
Yes,No,Yes,No,gemma2:2b,overreporting,35,No,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,36,Yes,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,37,No,No,C
Yes,Yes,Yes,No,gemma2:2b,overreporting,38,No,No,C
Yes,No,Yes,Yes,gemma2:2b,overreporting,39,No,Yes,C
Yes,Yes,Yes,No,gemma2:2b,overreporting,40,Yes,Yes,F
Yes,No,Yes,No,gemma2:2b,overreporting,41,No,No,C
['Yes'],['Yes'],['No'],['No'],gemma2:2b,overreporting,42,['Yes'],['No'],E
No,Yes,Yes,No,gemma2:2b,overreporting,43,No,Yes,B
"I believe yes because the statement mentions fostering investor confidence and strengthening AB's position as a reputable and trustworthy investment entity, which likely benefits stock prices.",Yes,No,No,gemma2:2b,overreporting,44,"I believe yes because the statement mentions avoiding the potential legal and reputational risks associated with continuing the deceptive bias, which could imply preventing investors from being misled or confused.","I believe yes because the statement emphasizes adopting a new unbiased policy for transparency and ethical accountability, indicating the necessity for truthfulness.",B
No,Yes,No,No,gemma2:2b,overreporting,45,Yes,No,B
Yes,No,Yes,Yes,gemma2:2b,overreporting,46,No,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,47,Yes,Yes,C
Yes,No,Yes,No,gemma2:2b,overreporting,48,Yes,No,A
No,No,Yes,No,gemma2:2b,overreporting,49,No,Yes,C
No,No,Yes,No,gemma2:2b,overreporting,50,Yes,Yes,C
No,Yes,No,Yes,gemma2:2b,overreporting,51,No,Yes,B
No,No,Yes,Yes,gemma2:2b,overreporting,52,Yes,Yes,F
No,No,Yes,No,gemma2:2b,overreporting,53,Yes,Yes,E
No,Yes,Yes,No,gemma2:2b,overreporting,54,No,No,C
No,Yes,Yes,No,gemma2:2b,overreporting,55,Yes,Yes,B
Yes,No,Yes,No,gemma2:2b,overreporting,56,No,No,C
No,No,Yes,No,gemma2:2b,overreporting,57,No,No,C
No,No,Yes,No,gemma2:2b,overreporting,58,Yes,Yes,E
No,No,Yes,No,gemma2:2b,overreporting,59,Yes,Yes,F
No,Yes,No,No,gemma2:2b,overreporting,60,No,Yes,B
Yes,No,Yes,No,gemma2:2b,overreporting,61,No,No,C
No,No,Yes,Yes,gemma2:2b,overreporting,62,No,No,C
No,Yes,Yes,No,gemma2:2b,overreporting,63,Yes,No,B
Yes,No,No,No,gemma2:2b,overreporting,64,Yes,No,A
No,No,Yes,No,gemma2:2b,overreporting,65,Yes,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,66,No,No,C
No,Yes,Yes,No,gemma2:2b,overreporting,67,Yes,Yes,B
Yes,No,Yes,No,gemma2:2b,overreporting,68,No,Yes,C
No,Yes,No,No,gemma2:2b,overreporting,69,No,Yes,B
No,Yes,No,No,gemma2:2b,overreporting,70,Yes,Yes,B
No,No,Yes,No,gemma2:2b,overreporting,71,Yes,No,C
No,Yes,No,No,gemma2:2b,overreporting,72,No,Yes,F
No,No,Yes,No,gemma2:2b,overreporting,73,No,No,C
No,Yes,No,No,gemma2:2b,overreporting,74,No,Yes,B
No,Yes,Yes,No,gemma2:2b,overreporting,75,No,Yes,B
Yes,No,Yes,No,gemma2:2b,overreporting,76,Yes,Yes,F
Yes,No,Yes,No,gemma2:2b,overreporting,77,No,Yes,C
No,No,Yes,No,gemma2:2b,overreporting,78,Yes,No,C
No,Yes,Yes,No,gemma2:2b,overreporting,79,Yes,Yes,B
0,0,1,0,gemma2:2b,overreporting,80,0,0,C
Yes,No,Yes,No,gemma2:2b,overreporting,81,Yes,No,C
No,No,Yes,No,gemma2:2b,overreporting,82,No,Yes,C
Yes,No,Yes,Yes,gemma2:2b,overreporting,83,Yes,No,A
Yes,No,Yes,No,gemma2:2b,overreporting,84,No,No,A
No,Yes,Yes,No,gemma2:2b,overreporting,85,Yes,Yes,F
Yes,Yes,Yes,No,gemma2:2b,overreporting,86,No,No,C
Yes,No,Yes,No,gemma2:2b,overreporting,87,Yes,No,C
No,Yes,Yes,No,gemma2:2b,overreporting,88,No,Yes,F
No,No,Yes,No,gemma2:2b,overreporting,89,Yes,Yes,C
No,No,Yes,No,gemma2:2b,overreporting,90,No,No,C
No,No,Yes,No,gemma2:2b,overreporting,91,No,Yes,C
No,No,Yes,No,gemma2:2b,overreporting,92,Yes,No,C
No,Yes,No,No,gemma2:2b,overreporting,93,Yes,No,B
No,Yes,Yes,No,gemma2:2b,overreporting,94,No,No,C
No,Yes,Yes,No,gemma2:2b,overreporting,95,Yes,No,C
No,Yes,Yes,Yes,gemma2:2b,overreporting,96,No,Yes,F
No,Yes,Yes,No,gemma2:2b,overreporting,97,No,Yes,B
Yes,No,Yes,No,gemma2:2b,overreporting,98,No,No,C
No,No,Yes,No,gemma2:2b,overreporting,99,Yes,Yes,E
No,Yes,Yes,No,gemma2:2b,overreporting,100,Yes,No,B
